Date,Open,High,Low,Close,Adj Close,Volume
1999-03-25,6395.629883,6395.629883,6395.629883,6395.629883,6395.629883,0
1999-03-26,6369.089844,6369.089844,6369.089844,6369.089844,6369.089844,0
1999-03-29,6483.390137,6483.390137,6483.390137,6483.390137,6483.390137,0
1999-03-30,6435.700195,6435.700195,6435.700195,6435.700195,6435.700195,0
1999-03-31,6382.200195,6382.200195,6382.200195,6382.200195,6382.200195,0
1999-04-01,6397.000000,6397.000000,6397.000000,6397.000000,6397.000000,0
1999-04-05,6498.930176,6498.930176,6498.930176,6498.930176,6498.930176,0
1999-04-06,6474.509766,6474.509766,6474.509766,6474.509766,6474.509766,0
1999-04-07,6515.850098,6515.850098,6515.850098,6515.850098,6515.850098,0
1999-04-08,6600.970215,6600.970215,6600.970215,6600.970215,6600.970215,0
1999-04-09,6625.390137,6625.390137,6625.390137,6625.390137,6625.390137,0
1999-04-12,6694.549805,6694.549805,6694.549805,6694.549805,6694.549805,0
1999-04-13,6679.109863,6679.109863,6679.109863,6679.109863,6679.109863,0
1999-04-14,6615.669922,6615.669922,6615.669922,6615.669922,6615.669922,0
1999-04-15,6586.270020,6586.270020,6586.270020,6586.270020,6586.270020,0
1999-04-16,6607.520020,6607.520020,6607.520020,6607.520020,6607.520020,0
1999-04-19,6512.149902,6512.149902,6512.149902,6512.149902,6512.149902,0
1999-04-20,6564.589844,6564.589844,6564.589844,6564.589844,6564.589844,0
1999-04-21,6700.680176,6700.680176,6700.680176,6700.680176,6700.680176,0
1999-04-22,6777.439941,6777.439941,6777.439941,6777.439941,6777.439941,0
1999-04-23,6759.790039,6759.790039,6759.790039,6759.790039,6759.790039,0
1999-04-26,6754.819824,6754.819824,6754.819824,6754.819824,6754.819824,0
1999-04-27,6801.759766,6801.759766,6801.759766,6801.759766,6801.759766,0
1999-04-28,6770.569824,6770.569824,6770.569824,6770.569824,6770.569824,0
1999-04-29,6746.990234,6746.990234,6746.990234,6746.990234,6746.990234,0
1999-04-30,6706.919922,6706.919922,6706.919922,6706.919922,6706.919922,0
1999-05-03,6811.390137,6811.390137,6811.390137,6811.390137,6811.390137,0
1999-05-04,6725.950195,6725.950195,6725.950195,6725.950195,6725.950195,0
1999-05-05,6772.899902,6772.899902,6772.899902,6772.899902,6772.899902,0
1999-05-06,6727.220215,6727.220215,6727.220215,6727.220215,6727.220215,0
1999-05-07,6780.299805,6780.299805,6780.299805,6780.299805,6780.299805,0
1999-05-10,6760.209961,6760.209961,6760.209961,6760.209961,6760.209961,0
1999-05-11,6828.200195,6828.200195,6828.200195,6828.200195,6828.200195,0
1999-05-12,6848.390137,6848.390137,6848.390137,6848.390137,6848.390137,0
1999-05-13,6887.200195,6887.200195,6887.200195,6887.200195,6887.200195,0
1999-05-14,6750.799805,6750.799805,6750.799805,6750.799805,6750.799805,0
1999-05-17,6734.620117,6734.620117,6734.620117,6734.620117,6734.620117,0
1999-05-18,6705.750000,6705.750000,6705.750000,6705.750000,6705.750000,0
1999-05-19,6762.319824,6762.319824,6762.319824,6762.319824,6762.319824,0
1999-05-20,6761.049805,6761.049805,6761.049805,6761.049805,6761.049805,0
